2026-05-11 15:25:26,983 | INFO | __main__ | Starting SIGNALS_ONLY bot (TRADE_MODE verified)
2026-05-11 15:25:26,985 | INFO | __main__ | Signals sent today: 0/3
2026-05-11 15:25:28,191 | INFO | __main__ | Saved signal record for BTCUSDT
2026-05-11 15:25:28,198 | INFO | __main__ | Saved signal record for ETHUSDT
2026-05-11 15:25:28,201 | INFO | __main__ | Saved signal record for SOLUSDT
2026-05-11 15:25:28,709 | INFO | __main__ | Signals counter updated: 1/3
2026-05-11 15:44:10,392 | INFO | __main__ | Starting SIGNALS_ONLY bot (TRADE_MODE verified)
2026-05-11 15:44:10,399 | INFO | __main__ | Signals sent today: 1/3
2026-05-11 15:44:11,546 | INFO | __main__ | Saved signal record for BTCUSDT
2026-05-11 15:44:11,573 | INFO | __main__ | Saved signal record for ETHUSDT
2026-05-11 15:44:11,603 | INFO | __main__ | Saved signal record for SOLUSDT
2026-05-11 15:44:14,244 | INFO | __main__ | Signals counter updated: 2/3
2026-05-11 16:01:58,645 | INFO | __main__ | Starting SIGNALS_ONLY bot (TRADE_MODE verified)
2026-05-11 16:01:58,646 | INFO | __main__ | Signals sent today: 2/3
2026-05-11 16:01:59,613 | INFO | __main__ | Saved signal record for BTCUSDT
2026-05-11 16:01:59,636 | INFO | __main__ | Saved signal record for ETHUSDT
2026-05-11 16:01:59,664 | INFO | __main__ | Saved signal record for SOLUSDT
2026-05-11 16:02:00,318 | INFO | __main__ | Signals counter updated: 3/3
2026-05-11 17:48:14,128 | INFO | __main__ | Starting bot (TRADE_MODE=SIGNALS_ONLY verified)
2026-05-11 17:48:14,147 | WARNING | __main__ | Daily signal limit reached (3/3). Bot will not run until tomorrow.
2026-05-11 17:54:28,128 | INFO | __main__ | Starting bot (TRADE_MODE=SIGNALS_ONLY verified)
2026-05-11 17:54:28,137 | INFO | __main__ | Signals sent today: 0/3
2026-05-11 17:54:30,096 | INFO | __main__ | Saved signal record for BTCUSDT
2026-05-11 17:54:30,105 | INFO | __main__ | Saved signal record for ETHUSDT
2026-05-11 17:54:30,116 | INFO | __main__ | Saved signal record for SOLUSDT
2026-05-11 17:54:30,821 | INFO | __main__ | Signals counter updated: 1/3
2026-05-11 18:24:14,383 | INFO | __main__ | Starting bot (TRADE_MODE=SIGNALS_ONLY verified)
2026-05-11 18:24:14,394 | INFO | __main__ | Signals sent today: 1/3
2026-05-11 18:24:16,188 | INFO | __main__ | Saved signal record for BTCUSDT
2026-05-11 18:24:16,196 | INFO | __main__ | Saved signal record for ETHUSDT
2026-05-11 18:24:16,203 | INFO | __main__ | Saved signal record for SOLUSDT
2026-05-11 18:24:16,852 | INFO | __main__ | Signals counter updated: 2/3
2026-05-12 07:21:30,031 | INFO | __main__ | Starting bot (TRADE_MODE=SIGNALS_ONLY verified)
2026-05-12 07:21:30,040 | INFO | __main__ | Signals sent today: 0/3
2026-05-12 07:21:33,030 | INFO | __main__ | Saved signal record for BTCUSDT
2026-05-12 07:21:33,037 | INFO | __main__ | Saved signal record for ETHUSDT
2026-05-12 07:21:33,046 | INFO | __main__ | Saved signal record for SOLUSDT
2026-05-12 07:21:45,800 | INFO | __main__ | Scanner: 15 pairs processed
2026-05-12 07:21:46,488 | INFO | __main__ | Signals counter updated: 1/3
2026-05-12 07:29:36,662 | INFO | __main__ | Starting bot (TRADE_MODE=SIGNALS_ONLY verified)
2026-05-12 07:29:36,665 | INFO | __main__ | Signals sent today: 0/3
2026-05-12 07:29:38,582 | INFO | __main__ | Saved signal record for BTCUSDT
2026-05-12 07:29:38,590 | INFO | __main__ | Saved signal record for ETHUSDT
2026-05-12 07:29:38,599 | INFO | __main__ | Saved signal record for SOLUSDT
2026-05-12 07:29:50,452 | INFO | __main__ | Scanner: 15 pairs processed
2026-05-12 07:29:51,674 | INFO | __main__ | Signals counter updated: 1/3
2026-05-12 07:52:16,672 | INFO | __main__ | Starting bot (TRADE_MODE=SIGNALS_ONLY verified)
2026-05-12 07:52:16,680 | INFO | __main__ | Signals sent today: 0/3
2026-05-12 07:52:19,774 | INFO | __main__ | Saved signal record for BTCUSDT
2026-05-12 07:52:19,808 | INFO | __main__ | Saved signal record for ETHUSDT
2026-05-12 07:52:19,867 | INFO | __main__ | Saved signal record for SOLUSDT
2026-05-12 07:52:31,959 | INFO | __main__ | Scanner: 15 pairs processed
2026-05-12 07:52:33,411 | INFO | __main__ | Signals counter updated: 1/3
